id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
59,MTP_DSL,True,True,True,54,-37.4,5.393
59,RAW_LLM,True,True,True,38,-37.4,3.155
60,MTP_DSL,True,True,True,54,-66.0,6.089
60,RAW_LLM,True,True,True,37,-66.0,3.991
61,MTP_DSL,True,True,True,53,90.0,5.849
61,RAW_LLM,False,False,False,35,124.7,3.732
62,MTP_DSL,True,True,True,53,62.2,5.656
62,RAW_LLM,True,True,True,34,62.2,16.543
63,MTP_DSL,True,True,True,54,-41.3,5.302
63,RAW_LLM,True,True,True,38,-41.3,3.06
64,MTP_DSL,True,True,True,54,-90.0,7.33
64,RAW_LLM,False,False,False,38,-331.7,3.926
65,MTP_DSL,True,True,True,53,-8.0,5.463
65,RAW_LLM,True,True,True,34,-8.0,3.643
66,MTP_DSL,True,True,True,54,-7.9,8.075
66,RAW_LLM,True,True,True,84,-7.9,4.747
67,MTP_DSL,True,True,True,53,90.0,5.609
67,RAW_LLM,False,False,False,35,292.8,3.544
68,MTP_DSL,True,True,True,54,17.7,5.611
68,RAW_LLM,True,True,True,36,17.7,3.477
69,MTP_DSL,True,True,False,53,76.5,7.298
69,RAW_LLM,True,True,True,60,69.8,4.547
70,MTP_DSL,True,True,True,54,-69.7,6.128
70,RAW_LLM,True,True,True,35,-69.7,3.598
71,MTP_DSL,True,True,True,53,87.4,5.955
71,RAW_LLM,True,True,True,36,87.4,3.943
72,MTP_DSL,True,True,False,53,48.2,7.286
72,RAW_LLM,True,True,True,58,41.5,4.194
73,MTP_DSL,True,True,True,53,37.2,7.238
73,RAW_LLM,True,True,True,85,37.2,4.48
74,MTP_DSL,True,True,True,55,-30.3,8.582
74,RAW_LLM,True,True,True,85,-30.3,5.02
75,MTP_DSL,True,True,True,53,85.9,6.509
75,RAW_LLM,True,True,True,36,85.9,4.069
76,MTP_DSL,True,True,True,55,-63.3,5.652
76,RAW_LLM,True,True,True,37,-63.3,3.381
77,MTP_DSL,True,True,True,54,-86.9,6.42
77,RAW_LLM,True,True,True,37,-86.9,4.129
78,MTP_DSL,True,True,True,54,-90.0,6.482
78,RAW_LLM,False,False,False,38,-243.3,3.924
79,MTP_DSL,True,True,True,53,61.6,9.031
79,RAW_LLM,True,True,True,84,61.6,5.623
80,MTP_DSL,True,True,True,53,44.3,8.89
80,RAW_LLM,True,True,True,84,44.3,5.818
81,MTP_DSL,True,True,True,54,-90.0,5.271
81,RAW_LLM,False,False,False,39,-355.9,2.951
82,MTP_DSL,True,True,True,53,19.2,6.178
82,RAW_LLM,True,True,True,36,19.2,4.138
83,MTP_DSL,True,True,True,53,33.7,5.97
83,RAW_LLM,True,True,True,36,33.7,3.971
84,MTP_DSL,True,True,True,53,88.4,6.172
84,RAW_LLM,True,True,True,36,88.4,4.825
85,MTP_DSL,True,True,True,53,90.0,5.605
85,RAW_LLM,False,False,False,35,133.2,3.529
86,MTP_DSL,True,True,True,55,-13.5,10.027
86,RAW_LLM,True,True,True,85,-13.5,5.391
87,MTP_DSL,True,True,True,52,0.0,6.482
87,RAW_LLM,True,True,True,27,0.0,4.51
88,MTP_DSL,True,True,True,54,-16.2,7.554
